name,fuente,lat,lon
San Nicolás,ICC,14.184561,-91.603569
San Rafael - Patzún,ICC,14.636033,-90.961793
Suiza Contenta (Ar),Sutron,14.61825,-90.658167
Alameda Icta (Ar),Sutron,14.637936,-90.803967
San Martín Jilotepeque (Ar),Sutron,14.77744,-90.792558
Chiyax (Ar),Sutron,14.900657,-91.3515
Labor Ovalle Icta (Ar),Sutron,14.871339,-91.514438
Pachuté (Ar),Sutron,14.98341,-91.57365
La Nueva Concepción (Ar),Sutron,14.867508,-91.682996
Cantel Ii (Ar),Sutron,14.829461,-91.460283
Efa San Marcos (Ar),Sutron,14.96715,-91.82333
Ixchiguán (Ar),Sutron,15.16483,-91.9395
San Pedro Nécta (Ar),Sutron,15.49459,-91.76244
Puyumate,ICC,14.261556,-91.260733
Concepción,ICC,14.337389,-90.787125
Santa Cruz Balanyá (Ar),Sutron,14.689689,-90.917177
Los Altos (Ar),Sutron,14.859902,-91.508073
Pacajá Alto (Ar),Sutron,14.822773,-91.550662
Huehuetenango (Ar),Sutron,15.31828,-91.502403
Santa Cruz Del Quiché (Ar),Sutron,15.05016,-91.15395
Chinique (Ar),Sutron,15.046853,-91.019634
